countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
FI,2016,3669894000.0,0.5619124421059858,183509000.0,51742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,,
FI,2017,4409624000.0,-2.038446068329572,181700000.0,51916.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,,
FI,2018,4743608000.0,-2.093982427272949,185300000.0,51340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,,
FI,2019,5042724000.0,-2.0882372866926,201788000.0,52580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,,
FR,1989,7674588.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1990,280480580.0,4.633863150276648,2048609894.0,42701.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1991,470867907.0,4.484489495187565,2184289519.0,43287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1992,342561784.0,1.1657132866057593,791515297.0,47030.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1993,476898485.0,-0.6593263710852157,0.0,44733.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1994,339933258.0,3.7699018907615507,1893264345.0,51865.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1995,561279779.0,3.5764821578897887,1840974332.0,52127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1996,679238121.0,3.5745671110296726,1889148222.0,56926.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1997,708663830.0,2.6783251804951744,1674652454.0,58593.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,1998,1494690201.0,-1.3186527421704315,0.0,60808.0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,2,,,
FR,1999,1228986809.0,-0.6902422464496577,10701311.0,67347.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,2000,348429582.0,-0.7208829962115209,11666009.0,16266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,2001,292911000.0,-1.0199054319922656,13542000.0,17272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,2002,14050144000.0,0.7482222387424391,1479606000.0,430101.0,1,1,0,0,0,2,0,2,1,1,0,0,0,2,0,,,
FR,2003,13620598000.0,-0.14501497487956222,1603327000.0,150279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FR,2004,24713352000.0,-4.5953304169034785,2756283000.0,607691.0,2,0,0,0,0,2,0,2,1,0,1,0,0,1,1,,,
FR,2005,26940568000.0,-4.192620325073867,4348583000.0,663168.0,2,0,0,2,0,2,2,4,1,1,0,2,0,2,2,,,
FR,2006,35950446000.0,-3.4859680336908982,4959200000.0,733637.0,2,0,0,0,0,2,0,2,0,1,1,0,0,2,0,53.333333333333,,
FR,2007,31637315000.0,0.3594460614229298,5025643000.0,737414.0,2,2,1,2,0,5,2,7,1,1,2,3,0,4,3,53.333333333333,,
FR,2008,36068862000.0,0.6464279648378193,5475708000.0,934549.0,1,1,0,0,0,2,0,2,0,1,0,0,1,1,1,53.333333333333,,
FR,2009,41081665000.0,5.576033708380136,5921568000.0,947469.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333333333333,,
FR,2010,45424540000.0,10.05915840791274,6048297000.0,982458.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,53.333333333333,,
