countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,"Deal value
m EUR",Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Total deal value for Acquired stake (%)0_10,Total deal value for Acquired stake (%)_10_20,Total deal value for Acquired stake (%)_20_30,Total deal value for Acquired stake (%)_30_40,Total deal value for Acquired stake (%)_40_50,Total deal value for Acquired stake (%)_0_25,Total deal value for Acquired stake (%)_25_50,Total deal value for Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
GB,2008,9376576673.0,-0.28330543232276784,5363183.0,189357.0,1313.2800000000002,5,0,0,0,0,5,0,5,1313.2800000000002,0.0,0.0,0.0,0.0,1313.2800000000002,0.0,1313.2800000000002,0,0,4,1,0,3,2,80.0,,
GB,2009,3206268800.0,-1.6083339570198392,4197701.0,170008.0,12.82,3,1,0,0,0,4,0,4,5.33,7.49,0.0,0.0,0.0,12.82,0.0,12.82,3,1,0,0,0,4,0,80.0,,
GB,2010,5278404564.0,-4.086114005672158,3277622.0,164857.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,80.0,,
GB,2011,5471113132.0,4.81035893255128,2705902.0,149013.0,11.24,2,1,0,0,0,3,0,3,7.609999999999999,3.63,0.0,0.0,0.0,11.24,0.0,11.24,2,1,0,0,0,3,0,80.0,,
GB,2012,3504688783.0,7.984051727782845,9236479.0,135551.0,3.38,0,0,1,0,0,0,1,1,0.0,0.0,3.38,0.0,0.0,0.0,3.38,3.38,0,0,1,0,0,0,1,80.0,,
GB,2013,4863221827.0,-3.2669628230588494,22812506.0,163774.0,6.18,0,1,0,0,0,1,0,1,0.0,6.18,0.0,0.0,0.0,6.18,0.0,6.18,0,1,0,0,0,1,0,80.0,,
GB,2014,3099212829.0,-1.2579532547726475,3086469.0,141394.0,55.88,1,0,0,0,0,1,0,1,55.88,0.0,0.0,0.0,0.0,55.88,0.0,55.88,1,0,0,0,0,1,0,84.0,,
GB,2015,3440405662.0,-3.312450630489802,20825492.0,152088.0,17.6,2,0,0,0,0,2,0,2,17.6,0.0,0.0,0.0,0.0,17.6,0.0,17.6,1,1,0,0,0,2,0,84.0,,
GB,2016,2469139914.0,-6.669397173453171,9103086.0,162598.0,6.18,2,0,0,0,0,2,0,2,6.18,0.0,0.0,0.0,0.0,6.18,0.0,6.18,1,1,0,0,0,2,0,84.0,,
GB,2017,1867964241.0,-4.880094646927592,42135452.0,97105.0,148.57,4,0,0,0,0,3,0,3,148.57,0.0,0.0,0.0,0.0,77.68,0.0,77.68,3,0,0,0,0,3,0,84.0,,
ID,2003,1210000.0,-0.23487426160726482,0.0,595.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
ID,2004,71698000.0,-2.1138683544653833,0.0,7611.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
ID,2005,104137000.0,-2.348742616072648,0.0,9227.0,30.39,0,0,1,0,0,1,0,1,0.0,0.0,30.39,0.0,0.0,30.39,0.0,30.39,0,0,1,0,0,1,0,,,
