countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
KR,2013,109579480040.0,89.20563042133101,27766058986.0,624641.0,57,3,2,2,1,26,4,30,9,8,6,4,3,22,8,66.666666666667,Korea strengthened investor protections by making it easier to sue directors in cases of prejudicial related-party transactions.,True
KR,2014,98527426446.0,141.8508992709826,29673029527.0,693395.0,23,5,4,2,5,18,7,25,5,3,6,3,8,13,12,70.0,,
KR,2015,105961969090.0,222.1573084290306,29666906361.0,690326.0,33,9,8,3,5,24,13,37,7,10,8,4,8,21,16,74.0,The Republic of Korea strengthened minority investor protections by increasing the level of transparency expected from companies on managerial compensation.,True
KR,2016,127867956337.0,243.32765552912304,30662242990.0,674313.0,35,11,9,3,3,28,12,40,12,9,10,6,3,24,16,74.0,,
KR,2017,240385911226.0,260.29987102639535,48928346239.0,1190622.0,80,22,6,7,4,50,15,65,17,16,11,14,7,38,27,74.0,,
KY,2002,3165000.0,2.2102484701961083,1540000.0,1420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2003,47691000.0,1.8095712646086533,2834000.0,10393.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2004,334070210.0,1.8221003331142065,12390051.0,30009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2005,435744926.0,1.6592913604121409,26305405.0,44133.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,,,
KY,2006,431504200.0,1.4837919353746558,28497970.0,60923.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2007,635814304.0,0.8504679232828596,35325335.0,65146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2008,333610892.0,2.522109738903156,71922968.0,90462.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,,
KY,2009,1078518841.0,3.2291674816042795,97465877.0,96482.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,,,
KY,2010,1326064901.0,4.57079407405626,170474908.0,113944.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2011,1475851475.0,5.066107945244765,170147599.0,127738.0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,,
KY,2012,1486285048.0,5.290542269092803,203503186.0,134528.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,,,
